0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-1	0	0
-1	0	0
-3	0	0
-3	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	-90	0
0	-510	-30
0	-1170	-420
0	-1440	-1380
0	-1920	-1800
0	-2340	-2250
0	-2790	-2670
0	-3270	-3390
0	-3240	-3540
0	-3330	-3480
